title,salary,location,postedAt,description
"Instructional Support > Paraprofessional / IA Teacher Assistant, Special Education (Cross Category)",$12 per hour,"Seldens Landing Elementary School 
Leesburg, Virginia",2025-08-04,"The job is for a Paraprofessional/IA Teacher Assistant in Seldens Landing Elementary School, providing instructional support to students with physical disabilities or intellectual disabilities. The role involves assisting teachers, preparing classroom materials, supervising student behavior, and performing clerical duties under guidance and supervision."
Safety and Security Specialist,$25-33 per hour,"Ashburn, Virginia",2025-08-04,"The School Security Officer reports to the Division of Safety and Security at Loudoun County Public Schools, assisting in providing a safe environment for students, staff, and visitors. They will respond to complaints regarding property loss, develop procedures to deter violations of the student code of conduct, and assist in establishing local security and safety procedures."
"Teacher Assistant, Grades 1-5 (EOY)",$22 - $24 per hour,"Ashburn, Virginia",2025-08-04,"The job description for Teacher Assistant, Grades 1-5, involves providing individual and group instruction, implementing behavior modification plans, observing student actions, preparing classroom materials, managing the room, and performing general office clerical work. The ideal candidate should have a high school diploma or its recognized equivalent, experience working with children, and possess good human relations and communication skills."
"Paraprofessional / IA Teacher Assistant, Special Education (Autism)",$21.40 - $24.08 per hour,Virginia Ashburn,08-04-2025,"This paraprofessional/IA assistant in Loudoun County Public Schools will provide instructional support, training, and personal assistance to teachers of students with physical disabilities or intellectual disabilities. The role includes assisting the teacher in classroom duties, supervising student behavior, and providing personal care as required under supervision."
"Teacher Assistant, Special Education (Multiple Disabilities) Loudoun County Public Schools Kenneth W. Culbert Elementary School - Hamilton, Virginia",$10 per hour,VA,2025-08-04,"The employee must assist teachers with students who have physical disabilities or intellectual disabilities by performing instructional duties, preparing classroom materials, supervising student behavior, and providing personal assistance. They work under the guidance and supervision of the teacher in a variety of settings."
"Special Education > General Special Education Teacher, Special Education (Cross Category)",$15 per hour.,"EMERICK ELEMENTARY SCHOOL - PURCETTVILLE, VIRGINIA",2025-08-04,"The job description for a Teacher, Special Education (Cross Category) at Loudoun County Public Schools is to plan and implement instructional programs and provide educational services for students. This includes managing student behavior, coordinating with other staff members, and communicating with students on instructional expectations. The position requires the ability to sit, stand, move around, and perform various tasks that may involve lifting up to 25 pounds."
Report to Principal.,$18 per hour,"Loudoun County Public Schools
Gum Spring Middle School - Stone Ridge, Virginia",2025-08-04,"The Assistant Principal role involves assisting the principal in the implementation of the total school program, including student conduct supervision, instructional personnel evaluation, departmental budgeting, transportation, food service coordination, and custodial staff supervision. The position requires frequent standing, hands-on work, and ability to see, talk, and hear."
"Job Title: Support Staff > Transportation
Map Bus Seat Repair Technician 
Loudoun County Public Schools 
Central Vehicle Maintenance Office - Leesburg, Virginia 
Job Details 
Job ID:5293607 
Application Deadline:Posted until filled 
Starting Date:Immediately 
Job Description",$24.40 - $31.32 per hour,"Central Vehicle Maintenance Office - Leesburg, Virginia",08-04-2025,"The job description for the Bus Seat Repair Technician position at Loudoun County Public Schools requires regular communication via loud spoken words, accuracy in conveying instructions to workers, and ability to perform various duties such as lifting, carrying, and pushing objects. The role involves sitting or standing for extended periods and performing tasks that may require up to 25 pounds of force occasionally."
Softball Varsity Assistant Coach,$15-$20 per hour,"Loudoun County High School 
Leesburg, Virginia","Jul 18, 2025","The job description involves overseeing student athletics, including scheduling practices and games, managing records and statistics, and making recommendations on team selections. The Assistant Athletic Coach will also assist in hiring and retaining coaches, direct assistant coaches' performance, and work with other coaches to develop a balanced athletic program."
"Special Education > General Special Education Teacher, Special Education (Cross Category)",$10 per hour.,"Leeburg, VA",2025-08-04,"The job description for a Special Education Teacher, General Special Education position with Loudoun County Public Schools involves planning and implementing instructional programs, managing student behavior, coordinating with other staff members, and communicating with students. The role requires sitting, using hands, and standing/walking frequently, and the incumbent must be able to lift up to 25 pounds occasionally."
"Teacher Assistant, Grades 1-5 (EOY)",$23.04 - $25.08,"Ashburn, Virginia",2025-08-04,"A paraprofessional provides individual and group instruction, assists students with classroom activities, and performs general clerical work under the direction of a licensed teacher."
Cafeteria Monitor,$15.65 per hour,"Loudoun County Public Schools
Seldens Landing Elementary School - Leesburg, Virginia",2025-08-04,"The job requires overseeing students from entering the lunchroom to leaving, assisting with table etiquette, and maintaining a clean and orderly atmosphere. The role also includes helping parents, relatives, or visitors, arranging seating for students, and performing related tasks during lunch hours and at other times as needed."
"Behavioral Assistant
Loudoun County Public Schools",$11.25 per hour,"Independence High School - Ashburn, Virginia",2025-08-04,"This job is a Paraprofessional/IA position, working under the direction of a licensed teacher at Loudoun County Public Schools. The role involves providing support in implementing individualized behavior plans for students on the autism spectrum, and participating in training to address recurring behavioral situations with supervision."
Instructional Support > Individual Aide,$11 per hour.,"Lansdowne, Virginia","Aug 18, 2025","The job description involves providing individualized support to students with physical disabilities or intellectual disabilities through one-on-one instruction, classroom preparation, supervision, and behavioral support. The role requires interacting with assigned students, preparing materials, and implementing discipline plans while working under guidance from a teacher."
Prefer experience as a teacher or classified employee in Loudoun County Public Schools.,$10 per hour,"ALDIE, VA",20250704,"The job description for Volleyball Assistant Coach at John Champe High School involves working cooperatively with the head athletic coach, attending staff meetings, recommending equipment and supplies, and promoting team spirit through discipline and sportsmanship."
Volleyball Coach,$30-$45 per hour,"Aldie, VA",2025-08-04,"The head athletic coach will supervise athletes at contests, advise the athletic director on schedules, equipment, and facilities, assist in player eligibility and removal from teams, and ensure all players have undergone medical examinations. They will also organize team tryouts, develop recruitment strategies, and maintain records of statistics and news items."
"Autism Teacher, Special Education (3-5, Autism)","10 per hour, Exempt","Frederick Douglass Elementary School - Leesburg, Virginia",2025-08-04,"The job description for the Special Education Teacher, Autism position involves planning and implementing instructional programs and providing educational services for students with autism. The incumbent assumes a team-based or departmental setting role, managing multiple classes and performing various student monitoring and control activities."
Special Education > Autism Teacher,$28.00 per hour (Licensed),"Frederick Douglass Elementary School - Leesburg, Virginia",2025-08-04,"The job description for this Special Education Teacher position requires implementing instructional strategies, managing student behavior, coordinating with colleagues, and communicating with students. The incumbent must also be able to sit, handle materials, and perform repetitive tasks while occasionally standing, walking, or running."
"Director of Professional Learning and School Support Office - Ashburn, Virginia","$143,632 - $222,009","Director Ashburn, Virginia",2025-08-03,"The Director of Professional Learning and School Support Office is responsible for coordinating Professional Learning and School Support services, instructional technology, design and innovation, and library media services in Loudoun County Public Schools. They require normal cognitive abilities, including the ability to learn, recall, and apply practices and policies, and must possess physical stamina to exert up to 25 pounds of force occasionally."
"Supervisor, Facilities Services",$31.70 - $59.25/hourly,"Leesburg, VA",2025-08-04,"The Facility Project Manager performs on-site inspections of Contractor's work to ensure compliance with plans and specifications, prepares documents for capital asset repairs and replacements, and coordinates contractor schedules. They are also responsible for reviewing inspection reports, service tickets, and invoices for accuracy and compliance."
"Special Education > General Special Education Teacher, Special Education (Cross Category)(SY 25-26)",$10/hour,"Sterling, VA",2025-08-04,"The job description is for a Teacher, Special Education (Cross Category), who plans and implements an instructional program for students with special needs. They are responsible for managing student behavior, conducting classes, and providing educational services under the supervision of a principal. The role requires sitting frequently, using hands to finger or handle objects, and standing occasionally while moving around the school grounds."
"Teacher Assistant, Kindergarten",$22.08 per month,"Round Hill, VA",2025-08-04,"The job description involves assisting a teacher in various roles, including:

* Filing and photocopying
* Making field trip arrangements
* Performing administrative tasks such as scheduling and record-keeping."
"Instructional Support > Paraprofessional / IA Teacher Assistant, Special Education (Autism)",$10 per hour,Virginia,2025-08-04,"The job is a Paraprofessional / IA Teacher Assistant position in Instructional Support, providing instructional support, training, and personal assistance to teachers of students with physical disabilities or intellectual disabilities. The role involves assisting the teacher, preparing classroom materials, supervising student behavior, and performing clerical duties under their guidance and supervision."
"Instructional Support > Paraprofessional / IA Teacher Assistant, Special Education (School Within A School)",$8 per hour,LCH-E,08-04-2025,"Here is a concise summary of the job description:

This Paraprofessional / IA Teacher Assistant position in Loudoun County Public Schools requires assistance with instructional duties, classroom management, student behavior supervision, and clerical tasks under the guidance and supervision of a teacher."
Behavioral Assistant,$10/hour,"Loudoun County Public Schools
Stone Ridge, Virginia",08-04,"The job description for a Behavioral Assistant is to assist students with behavioral challenges on the autism spectrum, implementing individualized behavior plans, participating in training, and performing related work under supervision."
"NLE-B, EVE-C Teacher, EL (Part-Time)",$10 per hour,"Leesburg, VA","Aug 12, 2025","This job posting is for an Evergreen Mill Elementary School Teacher, specifically a Part-Time Loudoun County Public Schools position, designed to support students with English Language Learning (ELL) and English as a Second Instruction (ESL). The teacher will design and implement instructional programs to promote academic potential in kindergarten through fifth-grade students."
"Teacher, Grade 5",$40 per hour,Virginia,unknown,"The job description is for an Elementary Classroom Teacher at Loudoun County Public Schools, responsible for designing instructional programs, managing student behavior, and fostering academic and social growth through regular interactions with students."
Girls JV Head Coach,$22 per hour,"Lightridge High School, Virginia.",2025-08-03,"The job description for the Athletic Director positions requires the candidate to supervise athletic staff and teams at varsity contests, provide guidance on team preparation and scheduling, and advise the athletic director on equipment and supply needs. The ideal candidate should have coaching experience or participation in a high school or college sport, completion of CPR and First Aid training, and proficiency as a Virginia teaching license holder or classified employee."
Classroom Teacher > Math: General,$24-$27 per hour.,VA,2025-08-04,"The Teacher plans, designs, implements, and assesses an instructional program for students at Stone Hill Middle School, with a focus on promoting academic potential and developing competencies in a middle school environment. They are responsible for teaching various subjects, including math, and working closely with administrators to prepare students for assessments."
General Maintenance Worker I (Grounds Maintenance),$22.84 - $29.31 per hour,"Leesburg, Virginia",2025-08-04,"This employee, a General Maintenance Worker I (Grounds Maintenance), assists tradesmen in maintenance work, including electric, HVAC, plumbing, and equipment repairs, as well as seasonal lawn and playground maintenance. They may perform minor tasks independently and follow strict procedures. The role involves performing various tasks such as moving furniture, installing signs and fences, and plowing snow."
"Map School Nutrition Worker, Apprentice
Loudoun County Public Schools 
School Nutrition Services Office - Ashburn, Virginia",$15.65/hour,"Ashburn, VA",2025-08-04,"The School Nutrition Worker, Apprentice position is for individuals to develop skills in food service duties such as preparing and serving meals, following proper food safety and sanitation procedures, and interacting with customers."
Custodian Apprentice,$10 per hour,"Leesburg, VA",2025-08-04,"The job description for the Custodian position at Loudoun County Public Schools involves routine custodial work, including tasks such as lifting a minimum of 50 pounds and performing strenuous manual tasks over long periods of time in inclement weather conditions, with frequent walking, bending, stooping, reaching, and lifting. The employee must also be able to use medium machinery."
"The full job title is ""Classroom Teacher: ELL / ESL / SEI / TESOL"".",$10/hour,"Trailside Middle School
Ashburn, VA",unknown,"The Teacher will design and implement instructional programs, monitor student progress, present information to parents, develop assessments, create classroom expectations, manage students outside the classroom, and prepare students for various assessments."
Instructional Support > Paraprofessional / IA,$11.19 per hour,"RVH-I, RVH-A, RVH-C
Leesburg, VA","Aug 04, 2025.","The job description for a Paraprofessional IA in Library Education at Lycos High School (RVH-I, RVH-A, RVH-C) is as follows:

Reports to the Principal and is responsible for providing direct customer service. The ideal candidate must have experience providing direct customer service and possess certain skills such as utilizing library management systems, composing routine memoranda and letters with general instruction, maintaining clerical and financial records, operating standard office equipment, and using word processing software."
"Instructional Support > Paraprofessional / IA Teacher Assistant, Special Education (Cross Category)",$12 per hour,"Sterling, VA",2025-08-04,"The position requires providing instructional support, training, and personal assistance to teachers of students with physical disabilities or intellectual disabilities. The role involves assisting the teacher in various duties such as preparing classroom materials, supervising student behavior, and performing clerical tasks."
Head Coach,$24-$40 per hour.,"Dominion High School, Sterling, Virginia",unknown,"The position involves supervising athletic staff, teams, and officials during events such as varsity contests and postseason competitions. The head athletic coach is responsible for advising the athletic director on matters related to scheduling, equipment, and facility maintenance, while also overseeing student-athlete training and eligibility regulations."
"SUP-06C, SUP-07G, SUP-02B, SUP-07E, SUP-07I",$27.81 per hour,"Leesburg, VA",2025-08-04,"The Technical Security Technician I (Systems) reports to Supervisor, Technical Security and is responsible for system administration and installation support for closed-circuit camera and digital recording systems equipment, electronic access control systems, and similar devices."
Support Staff > Maintenance,$31.70 per hour,VA,20250804,"The job description is for a Security Surveillance Equipment Technician, responsible for diagnosing and repairing security surveillance equipment, performing minor service and repair work on alarm systems, training employees on equipment use, and maintaining electronic access control systems."
"Position Type: Full-Time
Job Categories:
Support Staff > Maintenance
Job Requirements
Citizenship, residency or work visa required
Contact Information
SUP-06C, SUP-07G, SUP-02B, SUP-07E, SUP-07I
Email: recruitment@lcps.org",$36-$46 per hour,"Leesburg, VA",unknown,"The Technical Security Engineer reports to the Supervisor, Technical Security and is responsible for providing technical design, support, and user assistance in communication and security network design, installation, maintenance, and use. They serve as the primary technical advisor to subordinates and provide technical assistance and guidance on all areas of equipment used in LCPS facilities."
"Teacher Assistant, Special Education (School Within a School)",'$10 per hour',"Sterling, Virginia",20250804,"This position involves assisting teachers with students who have physical disabilities or intellectual disabilities, performing instructional duties, preparing classroom materials, supervising student behavior, and providing personal assistance as required. The work is performed under the guidance and supervision of a teacher."
Classroom Teacher > English & Language Arts,10/hr.,"Woodgrove High School - Purcellville, Virginia",2025-08-03,"The job description for an English & Language Arts Teacher at Loudoun County Public Schools involves designing, implementing, and assessing instructional programs, developing assessments, working with school administration, and managing students outside the classroom. The teacher is expected to promote a challenging, equitable, and developmentally responsive learning environment that prepares high school students for life after high school."
"Teacher Assistant, Grades 1-5 (EOY)",$20.58 - $21.86 per hour,"Lucketts Elementary School - Leesburg, Virginia",2025-08-04,"The job posting describes a Paraprofessional position for an End-of-Year and Title I class as follows:

This role involves providing individual and group instruction to students, assisting with lesson plans, classroom activities, and behavior modification. The employee is responsible for preparing materials, maintaining the classroom environment, and performing general clerical tasks such as photocopying and record-keeping."
"SUP-15F
Supervisor - Transportation
Support Staff > Transportation",$24/hour,"Leesburg, VA",2025-08-04,"The job posting describes a part-time Transportation bus attendant position at Loudoun County Public Schools (LCPS), with responsibilities including attending training classes, providing first aid and CPR certifications during training, conveying instructions to other workers, sitting in a stationary position for long periods, and exerting up to 50 pounds of force occasionally. The employee's salary ranges from $21.40 to $27.41 per month, depending on the job category."
"SUP-15F
 SUP-13F
 SUP-13J 
 HRTD-C",The salary for this job is $28 per hour.,"Loudoun County Public Schools 
Virginia",2025-08-04,"The job posting is for a part-time transportation driver position, where the employee will provide safe transportation to students while maintaining effective control of the vehicle and assisting in boarding. The primary duties include pre-trip inspections, fueling, adapting driving methods to weather conditions, performing basic first aid and CPR procedures, and completing written reports as necessary."
Athletic Custodian,$19.18 per hour,"Stone Bridge High School, Ashburn, Virginia",08-04-2025,"This employee will be responsible for maintaining competition fields, practice fields, and spectator areas in a neat appearance and ensuring athletic spaces are clean and properly prepared for events. They will also assist custodial staff with snow removal during school vacations and weather emergencies."
Freshman Head Coach,$18 per hour.,"Park View, VA
Sterling",2025-08-03,"To act as a positive influence on the behavior of athletic staff and teams, supervise athletes, and advise the athletic director on various aspects of sports programs."
Classroom Teacher > Language: American Sign,10 per hour,"Leesburg, VA",2025-08-03,"Here is a concise summary of the job description:

The American Sign Language (ASL) Teacher at Loudoun County Public Schools in Leesburg, Virginia plans, designs, implements, and assesses instructional programs to support students' academic development. They manage classroom expectations, create assessments, work with administration, and develop learning experiences that promote equity, empowerment, and individual growth for students from 9-12th grade levels."
"Map Literacy Tutor
Loudoun County Public Schools
Lucketts Elementary School - Leesburg, Virginia",$32 per hour,"Lucketts Elementary School - Leesburg, Virginia",2025-08-04,"Here is a concise summary of the job description:

The Literacy Tutor works one-on-one with small groups of students in grades K-3, helping them improve early literacy skills such as phonemic awareness and fluency."
Classroom Teacher > Alternative Learning Environment,$18-$22 per hour,"Leesburg, VA","Aug 4, 2025","The job posting describes a high school teacher position that requires regular speaking and communication with students. The Teacher will design instructional programs, monitor student progress, present information to parents, develop assessments, manage students outside the classroom, and work with school administration to prepare students for various assessments."
"LRH-B, LRH-D, INS-06A",$7-$11 per hour.,"Stone Ridge, VA",20250804,"To act as a positive influence upon the behavior of members of his/her athletic staff and teams, the Athletic Director will oversee various responsibilities including supervising athletes at contests, advising on schedules, equipment recommendations, facility maintenance, and player eligibility."
Prefer experience as a teacher or classified employee in Loudoun County Public Schools.,$7-$13 per hour.,"Sterling, VA",2025-08-04,"To act as a positive influence upon the behavior of athletic staff and teams, the position requires supervision of athletes during contests and junior varsity/freshman games. The head coach is also responsible for advising the athletic director on schedules, official evaluations, equipment needs, facility maintenance, and team roster management."
Prefer experience as a teacher or classified employee in Loudoun County Public Schools.,$24-$35 per hour.,"Stone Bridge High School - Ashburn, Virginia",2025-08-04,"To act as a positive influence upon the behavior of members of his athletic staff and teams, supervise athletes at various contests and events, advise on schedules, official preparation, equipment recommendations, facility maintenance, and player eligibility."
Cafeteria Monitor,$15.65/hour,"Catoctin Elementary School - Leesburg, Virginia",20230504,"The job description for Support Staff > Food Service involves overseeing students in the school lunchroom, assisting with student behavior, maintaining discipline, and performing general food service duties. The position requires strong knowledge of child development, ability to work effectively with children, good human relations and communications skills, and the ability to maintain an orderly atmosphere in the lunchroom."
Special Education > General Special Education Teacher,10 per hour,"Sterling, Virginia",2025-08-04,"The job description for a Teacher, Special Education (Cross Category) SY 25-26 at Loudoun County Public Schools involves planning and implementing an instructional program, managing student behavior, coordinating with other staff members, and communicating with students. The role requires students to be monitored and controlled, and the position is assigned to various educational labs where additional supervision is required."
Special Education Early Childhood (SY25-26) Teacher,$24 per hour.,"Sterling, VA",20230604,"The job description for the Special Education Early Childhood (ECSE) position at Loudoun County Public Schools involves planning and implementing instructional programs, managing student behavior, coordinating with other staff members, and communicating with students. The role requires a variety of duties, including preparing educational materials, providing related services to students, and participating in professional development activities."
Financial Technician II,$27.81 to $35.79,"Hamilton, Virginia",2025-08-04,"The Financial Technician II position requires regular communication of detailed spoken instructions to other workers through loud or quick verbal exchanges while sitting for long periods. The role involves managing financial records, processing invoices, and performing various financial transactions."
Administrative Assistant II,$24.40-$31.32 per hour,"Leesburg, VA",2025-08-04,"The job description is for an Administrative Assistant, specifically a Full-Time position in the Distribution Center. The ideal candidate should have experience in bookkeeping or financial technology, with regular interactions requiring strong communication skills to convey instructions and ideas accurately. They must also possess normal cognitive abilities, including learning, recall, and application of practices and policies."
Dispatcher (Transportation),$25-$35 per hour,"Leesburg, VA",2025-08-04,"The job description for a Transportation Coordinator is to respond to calls, arrange replacements, operate a two-way radio console, perform switchboard duties, provide transportation information, coordinate office communications, manage dispatch center communications, and handle emergencies. The ideal candidate must have strong communication skills, be able to work in a fast-paced environment, and possess normal cognitive abilities."
Special Education > Autism Teacher,"10 per hour, Exempt.","VA, Loudoun County",2025-08-04,"Here is a concise summary of the job description:

The position requires planning and implementing instructional strategies for students with autism, managing their behavior, and coordinating with other staff members. The role involves assessing student achievement, creating learning materials, and utilizing technology to enhance instruction. Employees are expected to work in an educational setting and perform duties that require sitting, standing, and lifting up to 25 pounds."
General Maintenance Worker I (Interior),$22.84 - $29.31 per hour,"Leesburg, Virginia",2025-08-04,"The position is a General Maintenance Worker, assisting tradesmen in maintaining various facilities and equipment at Loudoun County Public Schools' Leesburg campus. The role involves routine maintenance tasks such as repairs, carpentry, landscaping, and snow removal."
"Teacher Assistant, Special Education (Transition)",$21.40 - $27.41 per hour,"Riverside High School 
Leesburg, Virginia",2025-08-04,"The job description involves providing instructional support, training, and personal assistance to teachers in a transition program, with an emphasis on assisting students in community-based settings. The role includes helping students prepare for post-secondary education, independent living skills, and community independence, while collaborating with the Transition teacher to develop individualized student work plans."
The full job title is: Classroom Teacher.,$17-$18 per hour.,"Sterling, VA Loudoun County",2025-08-04,"The Teacher reports to Principal, will typically work 10 months, 197 days, 7 hours per day, and has an exempt FLSA status. They will design and implement instructional programs in a high school setting, assist students with learning, and manage classroom expectations. The job requires regular contact and communication through spoken instruction."
"Special Education > Multiple Disabilities Teacher, Special Education (Multiple Disabilities -MD)",10/hour.,"JML-G, Loudoun County Public Schools, Chantilly, Virginia",2025-08-04,"The job description for the Special Education Teacher (Multiple Disabilities) at Loudoun County Public Schools involves planning and implementing instructional programs, managing student behavior, monitoring and controlling activities, and communicating with students. The role requires a variety of duties including teaching classes, providing educational services, and working independently in unique teaching specialties."
"Classroom Teacher > Elementary
Hovatter Elementary School - Stone Ridge, Virginia",$18-$22 per hour,"Virginia, Stone Ridge",2025-08-13,"The Teacher plans, designs, implements, and assesses an instructional program for students in grades 3-5 at Hovatter Elementary School, providing guidance and encouragement to help them develop their academic potential."
"Instructional Support > Paraprofessional / IA Teacher Assistant, Special Education (Cross Category)(SY 25-26)",$10/hour per day,"Potomac Falls High School - Sterling, Virginia",2025-08-04,"An Assistant Teacher in Special Education (Cross Category) is responsible for assisting teachers with students who have physical disabilities or intellectual disabilities, preparing classroom materials, supervising student behavior, and providing personal assistance as required."
Elementary Reading and Writing Facilitator,$25 per hour.,"Loudoun County Public Schools
Ashburn, VA",2025-08-04,"The Elementary Reading and Writing Facilitator reports to the Supervisor, Early Literacy, Elementary Reading & Writing Office. The role involves providing targeted support related to the Early Literacy and Elementary Reading and Writing program or student need at the school level. Physical requirements include frequent sitting, standing for long periods, lifting/carrying 25 pounds occasionally, and occasional exertion of up to 25 pounds force."
School Counselor,$10 per hour,"Ashburn, Virginia",2025-08-04,"The School Counselor reports to the Principal and is responsible for helping students overcome problems that impede learning and developing their potential to live full, useful lives. They are expected to collect and analyze data related to student outcomes, provide in-service training, collaborate with staff and administrators, and foster a positive climate of support."
"Assistant Superintendent Teaching and Learning Office - Ashburn, Virginia",$19.29 an hour,"Ashburn, VA",20250804,"The job description involves providing healthcare services to students in a school setting, including managing health issues safely and appropriately. The role requires collaboration with parents, medical providers, and LCPS staff to provide necessary care during school hours."
Licensed Substitute Teacher,"$19.29/hour, $150.01/day for 7 hours","Ashburn, Virginia",2025-08-04,"The job posting for a Substitute Compensation Licensed Substitute Teacher is responsible for communicating effectively with students, staff, and the public while assuming responsibility for all aspects of the learning environment in the absence of the employee. They must observe and follow LCPS policies, procedures, and expectations, and provide direction and supervision to students, build positive relationships with school staff, and implement lesson plans created by the absent employee."
Roles and Responsibilities for a Substitute Principal,$10 per hour,"Ashburn, Virginia",2022-08-04,"The substitute administrator reports to either a level director or building principal. They assist with program implementation, evaluation, and supervision, as well as coordination of programs and services. The role includes foster effective communication between home and school, maintaining discipline, and assisting in record-keeping functions."
"Assistant Superintendent Teaching and Learning Office - Ashburn, Virginia","Daily Substitute Rate - $19.29 an hour or $135.03 a day
Daily Loyalty Substitute Rate (25+ assignments)- $21.43 an hour or $150.01 a day
Site-Based Substitute Rate- $22.00 an hour for $154.00 a day","Ashburn, Virginia",2025-08-04,"The job description for the Substitute Assistant Superintendent Teaching and Learning Office position includes supervising students, managing student behavior, communicating effectively with students, staff, and the public, and providing direction and supervision to students at all times. The role requires flexibility and adaptability in teaching various subjects at different grade levels while maintaining a positive student environment."
"Teacher, Special Education (Cross Category) (SY 25-26)
Cedar Lane Elementary School - Ashburn, Virginia",$12/hour,"Ashburn, VA",2025-08-04,"The job description for a Teacher, Special Education (Cross Category) in Loudoun County Public Schools involves planning and implementing instructional programs, assessing student achievement, managing behavior, coordinating with other staff members, and communicating with students."
School Counselor,$10 per hour (Exempt),"Sterling, VA",20250904,"The job description for the School Counselor is for a full-time position that reports to the Principal. The role involves collecting data, analyzing results, and providing insights on student outcomes through an equity-focused approach, with responsibilities including in-service training, staff collaboration, professional development, and family support."
Instructional Support > Paraprofessional / IA Teacher Assistant,$10 per hour,"John Champe High School - Aldie, Virginia",08-04-2025,"This paraprofessional/IA teacher assistant will assist teachers with students with physical disabilities or intellectual disabilities, including preparing classroom materials, supervising student behavior, and performing clerical duties under the guidance of the teacher."
Teacher Special Education,$12 per hour,"Loudoun County Public Schools 
Virginia",2025-08-04,"The job description for the Special Education Teacher at Loudoun County Public Schools involves planning and implementing instructional programs, managing student behavior, coordinating with other staff members, and providing educational services to students. The position requires a degree in special education or related field, experience working with students with diverse needs, and the ability to adapt teaching strategies and materials as needed."
"GUI-A, FOR-C
Principal",$21.40-$24.0 per hour,"Sterling, VA","Aug 4, 2025","The job description for Teacher Assistant in Special Education at Loudoun County Public Schools is as follows:

An employee assists teachers by providing instructional support, training, and personal assistance with students who require special accommodations. They supervise student behavior, prepare classroom materials, and provide clerical duties under the guidance of a teacher."
Cafeteria Monitor,$15.65 per hour,"Ashburn, Virginia",2025-08-04,"An employee works as a cafeteria monitor in the school lunchroom, overseeing students from entering to leaving and assisting them with tasks such as condiment assistance, table etiquette, and clean-up. They are responsible for maintaining an orderly atmosphere and ensuring student safety."
Lucketts Elementary School Cafeteria Monitor,$15.65 per hour,"Lucketts, VA",2025-08-04,"An employee is responsible for overseeing students in the school lunchroom, assisting with student behavior, maintaining a clean and orderly atmosphere, and performing related tasks."
Cafeteria Monitor,$15.65 per hour,"Sterling, VA",20250304,"The job description for Support Staff > Food Service includes overseeing students from entering to leaving the lunchroom, assisting with daily activities such as seating and clean up, helping parents or visitors, arranging tables, and performing related work."
"Paraprofessional / IA Teacher Assistant, Special Education",$23.08 per hour,"Ashburn, Virginia",2025-08-04,"Here is a concise summary of the job description:

The Paraprofessional / IA Teacher Assistant in Loudoun County Public Schools assists teachers with students with physical disabilities or intellectual disabilities, performing instructional duties, supervising student behavior, and providing personal assistance. The role requires regular talking, expressing ideas by spoken word, lifting moderate amounts of force occasionally, and adapting to individual students' needs."
"Teacher, Special Education (Early Childhood Special Education/Autism (ECSE/AUT))",$10/hour,"Ashburn, Virginia",2025-08-04,"The job description for a Special Education Teacher (Autism) in Loudoun County Public Schools involves planning and implementing instructional programs, managing student behavior, and providing educational services to students. The role requires sitting, using hands, and reaching frequently, with occasional travel required for field trips and student activities."
Specialized Instruction Facilitator – Program,$12 per hour,"Special Education School Based Office - Ashburn, Virginia",2025-08-04,"The Specialized Instruction Facilitator – Program is responsible for providing leadership, training, and support for autism services instruction. They work alongside classroom teachers, special education teachers, and staff to model and evaluate the delivery of specialized approaches."
"Supervisor, Technical Security",$27.81 - $35.79 per hour,"Leesburg, VA",2025-08-04,"The job description for this maintenance support staff position is to provide technical security and perform various tasks related to the upkeep of facilities, including communicating detailed instructions and conveying information through spoken word."
"Special Education > General Special Education Teacher, Special Education (Cross Category)",$10/hour,"Little River Elementary School - Chantilly, Virginia",2025-08-04,"The job description for a Special Education Teacher (Cross Category) at Loudoun County Public Schools involves planning and implementing instructional programs, providing educational services to students, and managing student behavior. The incumbent is responsible for carrying out a variety of duties related to teaching, including classes taught may be single or multi-grade level, subject, skill or specialty oriented."
Cafeteria Monitor,$15.65 per hour,"Brambleton, VA",2025-08-03,"An employee in this class is responsible for overseeing students from entering to leaving the lunchroom, assisting students as needed, maintaining order, and ensuring student safety. They also perform tasks such as seating tables, cleaning up after classes, and monitoring fire exits in case of emergencies."
"BNF-01B, BNF-06A",$24.66/hourly,"Loudoun County Public Schools 
VA",2025-08-04,"The Accounting Technician role involves performing technical tasks related to an established accounting system, processing financial transactions, and verifying them for accuracy and timely completion. They also provide customer service support through key elements of the division's operations."
Cafeteria Monitor,$15.65 per hour,"Cool Spring Elementary School - Leesburg, Virginia",2025-08-04,"The job posting describes a part-time food service position at Cool Spring Elementary School where the candidate will be responsible for overseeing students, assisting with student behavior, and maintaining a safe and orderly lunchroom atmosphere."
School Nurse Assistant,$13.50 per hour,"Sterling, VA",2025-08-04,"The Registered Nurse Assistant is responsible for providing health services at a high school clinic, including assisting the Registered Nurse in maintaining patient records and performing basic first aid, while under the direction and supervision of the Registered Nurse."
"Teacher, Special Education (Intensive Program - Autism) (SY 25-26)
Loudoun County Public Schools",To be determined.,"Virginia, Loudoun County.",2025-08-04,"The job description for a Teacher, Special Education (Intensive Program - Autism) at Loudoun County Public Schools is to plan and implement instructional programs for students with autism, provide educational services, and conduct student monitoring and control activities."
